text,original_label,predicted_label
먼지가 엄청 붙어요퓨ㅠ 생각보다 사이즈가 커서 엄청 편해요ㅋㅋㅋ 한치수 작은거 사도 될것같아요,1,0
예전에 풀크림먹고 너무 무거워서 다른것만 먹었는데 이번에 먹으니 맛있네요 라떼에 넣으니 제입맛엔 다른 수입멸균보다 우유 특유의 젖맛?이 덜 나고 고소하네요 느낌인지는 모르지만 멸균우유상태에 따라 같은 우유라도 맛이 좀 다르게 느껴지는게 있나봐요,1,0
생가보다 너무 크고 길어요,0,1
발볼이 적어 염증 생겨 병원비가 더 들고 있습니다,0,1
햄비릱내가 너믄싫어요 ㅜㅜㄱ,0,1
재구매 의사 100프로 없어요 ㅡㅡ,0,1
무늬가 지워지면서 옷에 이염되네요.,0,1
색감 이쁘네요 근데 하얀케이스에 때가 많이 타있어서 선물용으로는 못쓸듯 해요 여튼 이쁨 자석도 짱짱하고,1,0
배송이 들쑥날쑥 하나봅니다. 잘 확인하시고 배송해주세요.,0,1
좋아요. 운동 열심히 할게요.,1,2
조금 솜이 부족한듯. 가격이 저렴하니...,1,0
깡마른분 또는 초딩 정도이신분만 가능 할듯요. 둘레 67인 아이도 작다 합니다.,0,1
생각외로 모기가 안잡혀요,0,1
재구매 빠른배송감사합니다. 잘받았어요!,1,2
조아요 조라요 아줄 아,1,0
스판이 안되요 옷감도 별로에요,0,1
늘 이제품으로 구매를해서 사용중입니다 이번제품은 전에꺼와 달리 너무커요 그리고 오래된듯 물러요 이번엔실망이에요,0,1
고리가 너무 작아 가이드에 걸리지않네요,0,1
털더 잘안잡히고 안뽑혀요,0,1
후방 카메라 화질이 기대보다는 좋지 못한 것 같으나 가격을 보면 이해가 됩니다.,1,0
하늘다람쥐는 잘 사용하지 않네요ㅜㅠ,0,1
거치링이 사이즈가 안맞네요 사용을 못합니다,0,1
나무는 다찍히고 칠은벗겨지고 엉망이네요,0,1
"어떻게 문자 한통없이 택배가 오나요,, 심지어 아직까지 배송중 ^^ ㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋ.ㅋㅋ 썪은 아보카도 잘 받았습니다~",0,1
손시려움 터치 되긴하지만 만족못함,0,1
비싸고 안좋아요,0,1
글쎄요 강아지가 잘안먹요,0,1
주문할때마다 느끼는건데 집앞정육점에서 한우사먹는거보다 토마호크 스테이크 먹는게 훨씬 맛납니다. 우리집 아이들도 손님들도 맛있다고 합니다 고기가 진짜 부드러워요~~간혹 지방이 많은부위가 올때도 있는데 그부분만 신경좀 써주셨음 합니다.,1,0
택배가느림,0,1
재구매 아주 마음에 듭니다 평생 팔아주세요 엉엉,1,0
보통 그냥 저냥 그냥,0,1
박스에 달랑 물건만 들어있네요,0,1
못 안뚫어도 엄청 튼튼하게 고정됩니다. 그렇게 보기싫지도않구요,1,0
비개 가 너--무 많아요,0,2
사용감이 좋지않아서 별로인것같아요,0,1
산소포장으로 꼼꼼히 포장되어 받았구요 배송받았을 때 아주 싱싱하게 살아있었어요 친정엄마 대신 구매해서 시댁으로 보내드렸는데 좋은걸로 보내주셔서 시댁에서 좋아하셨네요 살짝 데쳐먹기도 하고 생으로도 먹고 했는데 맛있었습니당,1,0
괜찮네yo!,1,2
처음 한 봉지 뜯자마자 머리카락 발견....,0,2
생각보다 사진이 많이 흐리네요,0,1
기대를 너무 한탓인지 아쉽네요,0,1
긁힌거 왔어요,0,1
생각보다 커서 다른용도로 쓰려고 해요~,0,1
내구성 약함 입는데ㅇㄷㅇㅈㅇㄷㄱㅌㅅ 찢어짐ㄷㅇㄷㅇㄷㄱ딛승ㅌㄱㅈㆍㄷ능ㄷㅇㄷㄴ디ㅣㅡㅡ슴ㄷㅅㄷㅅㅈㅅㅈㅅㅈㅅㅈㅅㅈ,0,1
좋아요 사진이랑 똑가,0,1
일본가위를 넘어서♡ 일본의 분해 되는 스뎅가위 시가 5만원 전후의 그 가위를 ;; 장바구니에 넣은지 수 개월;; 오복 가위를 발견 했다죠~ 완전 좋아용 2주 후에 오사카 여행 가서 직접 그 가위 사올건지 말건지 저울질 중임니다,1,0
"착용감은 편한데 단독으로는 티가 나서 사용하기 그러네요. 두꺼운 옷은 모르겠는데, 얇은 옷은 티 나요. 특히 밝은 색 옷은. . 자연조명에서는 티나서 움츠러들게 되네요. 여름 옷에 입으려고 샀는데 별로예요.",0,1
배송빠르네요.. 튼튼합니다.,1,2
"말로만 들었던, 파워콤프에 앉아보니,, 아,, 왜 인생안장이라고 하는지 알것 같습니다. 강추합니다. 많이 파세요",1,2
실내에서 신는건지 몰랐어요,0,1
핑크안옴 스트라이프 저기서 젤 예쁘지도 않은데 재질도 면아닌 플라스틱 까끌까끌 포장지 끈재질 황당쓰 반품 환불 귀찮아서 안함,0,1
먹이는 사료입니다. 중성화 수술후 체중조절식으로 먹이고있습니다 변도 이쁘게 잘 누고 좋아요 통 나누어 놓고 먹입니다. 이번에 온 사료는 지퍼팩이 되어 있습니다.참고하세요.,1,0
왜저렴한지알겠음와 진짜 등심 쓰레기 조각조각 어떤부위인지도구변ㅅ안가고 정말찔기고 맛없어서요,0,1
좋긴한데 너무밝아서,0,1
물건잘못보내고 없으면 강매한다네요,0,1
그냥 그렇네요 길이는 길어서 좋아요,0,1
100싸이즈 주문했는데 7부도 안되네요 그냥 입어요,0,1
아무도움 안되요. 쓰고 바로 쓰레기통으로,0,1
촉감이 시원해요.,1,2
저는 화장을 진하게 하는편이 아니라 저한테는 잘씻기고 씻고나면 개운하고 좋아요,1,0
무용지물...1000 언도 아깝다는.,0,2
굿귯 캔 종류도 다양해서 좋네요,1,0
재구매 이번에 LED로 잘 주문했어요 아직 쳐보지는않았는대 몇번치면 전구가 날라갈 것 같이 허술하긴해요,0,1
"사이즈가 2센티 차이나서 왔어요, 번거로워 반품 안 합니다. 사이즈 재단이 주 서비스실텐데 당황스럽네요.",0,2
너무약해요ㅜ 옷걸어 두고 살짝 치면 쓰러짐ㅋㅋㅋ,0,1
상품평을 보고 맛이 없다는걸 알고 샀으나..맛이 없긴하네요~아이가 먹어보고 싶다고 해서 샀는데..안에 액체만 쏙~먹고 병모양은 몇번 씹어보더니 인제 씹지도 않아요..ㅋㅋ 한번쯤 재미로 샀다고 생각하고 넘어갈려고해도 가격이 비싸긴해요~^^;;;,0,1
사진과 다른점없이 정확합니다. 다만 플라스틱이다보니 정전기가 잘일어서 고양이털이 들러붙어 지저분해지는건 어쩔수가없네요.,1,0
허벅지부분 약간 조이긴하는데 제가 허벅지가 좀 있는 편이기도 해서 입다보면 늘어나겠죵? 사각심리스는 처음 입는데 진짜 편하네요. 만족스럽습니다.,1,0
마음에 들어요~!,0,1
일식이 아니라 한식을 먹는 것 같았어요 포장은 잘 되어 왔는데 맛이 아쉽네요 ㅠ,0,1
잘안대서벗겨내는데시간이더걸렸습니다,0,1
낱개로 포장 되어서 좋았어요 ~,0,1
김서림이 생각보다 심하더라구요,0,1
배송이 엄청 빨라요 내부도 엄청 넓고 좋아요,1,0
마늘맛밖에 안나요ㅠㅜ,0,1
절대 안 살겁니다 후회해요.,0,2
배송이 늦었어요ㅡㅡ,0,1
헛돌아요 ㅜㅜ 별루,0,1
부드럽고 편합니다 디자인도 귀여워요,0,1
배송상태가 별로에여 냉동인데 다녹음,0,1
문 손잡이가 망가져서.. 디자인은 똑같은거 산다고 샀는데.. 색상이 로즈골드라서 좀 당황ㅜㅜ 실제 색상을 볼수없으니 오류가 생기네요.. 안방 화장실 문이라 그냥 달았어요.. 어쨌든 포장 배송 가성비는 너무 좋네요~~,1,0
집분위기에도 잘어울리고 좋은데 무풍에어컨 3구멍짜리는 195인가 그게 맞는데 캐리어에어컨도 그거 사라서 삿는데 안맞아요 ㅠㅠ 그래도 잘어울려요 조희가 잘못산건진 모르겠지만 그냥 잘 쓰겠습니당 집이환해져영,1,0
나른 괜찮구 다음에,0,1
한올한올떼서 하는거라 초보자들한텐 너무 어렵네요~3d를 살걸그랬나봐요,0,1
너무 심한 핑크예요 상품 사진과 완전 달라요 ㅠㅠ,0,1
많이 딱딱해요 틴트 사은품 주셨네요,0,1
재구매 사이즈가 너무 작습니다,0,1
지문이계속남는아쉬움이있었습니다.,0,2
오토바이용인데 떨림오인식이...,0,2
끼우다가 바로 금갔습니다,0,1
0점이안맞네요,0,1
작은 사이즈 필요해서 구매했어용,0,1
그냥씁니다.,0,2
부착안되요. 미끄러져서 빠져요 ㅠ.ㅠ,0,1
전면필름 잘 붙였어요 설명서 꼼꼼히 읽어가며. 2장이나 더 들어있어서 개이득. 근데 추가로 후면필름 시켰는데... 와... 성격 버릴 뻔 했어요 ㅎㅎ 구매하실 분들 참고하시기 바랍니다..,1,0
ㆍ아 향이 너무 ㅠ,0,1
한번 붙이면 절대 안떨어지긴합니다,0,1
좋습니다! 킨즈! 역시나 만족스러운 제품입니다.,1,2
"아 ,,, 정말 정말 제가 불호가 거의 없는 편이에요 맛 없다고해도 괜찮다고 하는 그런 편인데, 이건 조금 무리인 거 같습니다 ,,, ㅠ",0,2
과자 봉지가 찢어져서 왔어오,0,1
하나는 불량인데도 아니라고 우기네요,0,1
꾸준히먹고있어요.빈혈기가조금없어진것같구요.,1,2
배송은 좀 걸렸지만 제품 완전 맘에들어요,1,0
사용 설명서가 없어서 별로임,0,1
딱 가격만큼이요 사용시간 1~2시간 짧게사용가능해요,0,1
너무솜이힘이없네요 딱 아이들용입니딘,0,1
아기가 항상 먹는 우유에요 배송도 빠르고 만족합니다,1,0
"구매평에 얇다고,,",0,1
상품은 늘 쓰던거라 구매했는데요 제조일자 6개월이상 된거 보내주셨네요 기분 나쁩니다,0,1
생각보다 흡수력이 좋진 않아요~~,0,1
사진과달리 잎이 너무 휑하더군요,0,1
가랑이랑 엉덩이 사이에 자꾸 끼네요 ㅠ,0,1
털이 다 빠져 있는 제품이 왔습니다.,0,2
색상이 노란황토색이예요. 빈티지한 느낌보다는 조금 생뚱맞은 느낌입니다.,0,1
묻말따말 최고입니더..,1,0
택배사바꾸시는게 좋을듯 하네요,0,1
모자 뜨기 좋아요.,1,2
재구매 환불건 처리해주세요.,0,2
사진상 연초록색이 예뻐 보였는데 실제 배송된 물건은 검정색이네요. 좀 실망했습니다. 그래도 작동은 제대로 될 거라 믿고 쓰겠습니다. 많이 파시고 즐거운 하루 되세요!!^^,0,1
감자 작아도 푹신푹신 맛있어요 쩌먹기 크기도 적당하고 맛있어요,1,0
밑에가 션찮아요 싼맛에 쓸라합니다,0,1
여름에 시원하게입으려고삿는대...선선허니 입기는좋은대..팔이넘벙벙해서 전 약간수선해입엇드니...훨좋앗어오ㅡ...,1,2
잘 나오네요 쭉쭉 나올 줄 알았더니,0,1
빠른배송 상품도가격대비 준수하네요 레틀 바이브 도장상태는 좀..... 스피너베이트는 훌륭하네요,1,0
생각보다 너무 크네요ㅡㅡ,0,1
"오크야 말할것도 없고, 디썸 압분 가성비 좋네요",1,0
가격이 단연코 짱이고요. 그기에 각각 다른 색상의 끈 여유분을 두 개씩이나 동봉해서 의외였어요. 조금 신다가 끈을 바꾸어 변화를 주는것도 괜찮을것 같아요. 좋습니다.,1,0
"오버핏,너무 헐렁합니다.",0,2
핑크색상이 조금 밝은것 보다 한톤 다운된 느낌이예요 그래도 넘 이쁘고요 넉넉하게 산다고 샀는데 살때 더 살걸 하고 후회 했네요,1,0
설거지하다가 키친타올을 잘못샀나 싶어서 들어왔다후기남겨요. 그냥 부드럽고 좀더 질긴 빨아쓰는 키친타올같아요. 기존에 쓰던 수세미랑 비교해도 그냥 너무 부드럽기만해요. 물에 담그면 뭉쳐져서 한장으론 어림없어요. 수고하세요!,0,1
ㅋ 너무 이쁘자나욧.....화려하지만 또.단정한거 같고 넘 좋아요,1,0
보들보들하니 좋아요.,1,2
배송빨랐는데포장상태별루..,0,2
여행가는데 아기 재울때 필요해서 샀는데 괜찮은거 같아요,1,0
표준보다 더 편해요.,1,2
마감처리가 안좋아요,0,1
엄마껏도 역시 지퍼가 계속 내려가서 교환했습니다!,0,1
헐이렇게푼삶아진건지몰랐네요 해동을하니다풀어지고물러졌어요,0,1
노트8 사이즈 정확하고 적당히 단단하고 배송도 빨라요,1,0
임용준비하는데 사용하려고 구입했어요 반복주기가 자동으로 되어있어 도움이 될것 같아요,1,0
그저그런맛 고무씹는맛,0,1
소리도 잘나오고 가성비 정말 좋네요 드라이브 기능도 있어서 너무 만족해요,1,0
pvc 헤라 사이즈도 잘못 배송되었고. 또 하나는 끝 부분이 파손된 상태로 배송되었네요. 사이즈나 끝부분은 작업할때 꼭 필요해서 선택한건데 아쉽네요 ㅠㅠ,0,1
애들이 좋아해서 재구매했는데 제조일자가 너무 오래됐네요 저번엔 그러려니 먹었는데 이번에도 역시 작년 오월에 만든 상품이와서 찝찝하네요 다시 재구매는 하고싶지 않네요~,0,1
비추입니다,0,1
뻣뻣해서 먹기불편해요 동네보다 싸다고 큰용량구입한거 마니후회했네요,0,1
두께감있는 팬 잡을 때 불편해요,0,1
젖꼭지솔은 너무거품도안나고안닦이고젖병솔은너무크고완전별루입니다비싸기만하구,0,1
홍삼맛이 약하고 넘 달아요 포장 및 배송은 아주 좋네요,0,1
주문하고 그다음날 배송 받았어요 프리퀀시 다 해서 받고 싶은데 갈때마다 없어서 그냥 인터넷 구매 했네요ㅜ 받고 보니 역시 이뻐용,1,0
안 잃어버리려 큰 우산샀는데 결국 잃어버렸내요ㅠㅠㅠ 그래도 좋아서 재구매합니다,1,0
많이작아용 44사이즈인 저에게도..ㅎㅎ,1,0
그동안 많은 레몬디톡스를 시켜서 해왔지만 여기만큼 정직하고 효과잇는 곳 없엇어요!! 레시피 그대로 붉은 고춧가루도 보이고 레몬즙 낸 맛도 느껴지더라구요 믿고 강추합니다 재구매많이함,0,1
견과류는 안시킬듯 내용이 부실,0,1
안좋아요 각질도 오히려 심해졌어요,0,1
매우 딱딱해요. 좀 더 물렁한것도 있던데 이건아니에요,0,1
배송이 빨라요,0,1
그냥그래여 ㅎㅎ구냥그냥,0,1
호박씨에서 냄새나요 교환 귀찮아서 그냥 먹어요,0,1
좋아요 맛있어요 고소합니다,0,1
"다른제품 사용하다 더 저렴해서 구매해봤는데, 토너양이 너무 적어요. 촉촉하지는않고, 그냥 닦아낼수있는정도에요.",0,1
항상 주문하던젭품입니다. 추가로 영양제?까지 주셨네요.,1,2
배송도빠르고 맛도좋고 포장도 잘되어있고 신선해요.강추입니다.재구매할께요,1,0
재구매 일처리 최악이다 전화를안받노,0,1
LED라서 밝기는한데 센서가 잘 작동이안됩니다. 디자인도 무난 좋습니다.,0,1
택배 상자들고 보면서도 냄비가 들었을 거라고 생각을 못했어요.그만큼 가벼워요.크기는 인덕션 크기 염두하고 구매했기에 크기도 딱 맞고요.특히 찜기 겸용이라 좋아요.배송도 빨라요.,1,0
집에서 홈트하기 딱좋아요 냄새도 별로안나고 기름도 거의 안묻어나더라구여 만졷,1,0
가격이저렴해서좋지만 견고하지않아요. 여러개주문했는데 불량 있습니다,0,1
쓸모가없어요 ㅠㅠ 효과 1도 없어요,0,1
설치하기 조금 힘들었어요 빡빡하고ㅜㅜ,0,1
깨끗하게? 키우는게 은근 힘드네요,1,0
생각보다 너무 작아서 쓸모가 없어요,0,1
분사노즐이 이상한거같음,0,1
사이즈 스몰샀는데 미듐살걸 그랬어요 ㅠㅠ,0,1
물건 잘받았습니다. 몇번 끓여먹었는데 기대했던거 보다 잘우려나고 맛이 진해서 좋았습니다.,1,0
"재구매 2번째 구매입니다. 여기가 제일 저렴해서요. 항상 포장도 꼼꼼히 튼튼하게 와요. 아쉬운 점은 항상 구매할때마다 배송비때문에 많이 구매하는데, 일정 금액 이상이면 무료로 배송해주시면 좋겠어요.",1,0
마음에 들어요. 레이어드용으로 좋은듯.,1,2
구매하기 넘 헷갈려요 ㅠ,0,1
잘 미끄러져서 잘 않쓰게됩니다,0,1
여름에 입기 좋아요 출산 후에 입을 편한 팬티 찾다가 이 팬티를 발견했어요 가격도 저렴한데 시원하고 사이즈도 넉넉해서 입기 넘 편해요,1,0
재구매 의사는 없네요.,0,2
좋네요ㅎㅎ,0,1
사용이 불편합니다 리필시 간단히 할수있는 방법필요,0,1
무게를많이 지탱을못햎자꾸 내려가네오 ㅠ,0,1
배송일정 최악이네요,0,1
교체잘했어요 누구나 다 할수있을것같음,1,0
재구매 좀 짧은듯하여 걸어두니 늘어나서 좋네요 편하게 롱롱치마원해서요,1,0
비싸요..맛잇네요 번창하세요,1,0
그립감 좋고 튼튼하네요.,1,2
이쁘고 시원하게 쓸수있을꺼같네요 ㅎ 근데 플라스틱 냄새는좀 나네요 시간지남 빠지겠죠,1,0
재구매 두번째 시켜서 먹는 중입니다... 매일 건강한 하루가 되는 듯....,1,0
버튼쪽 누르는게 잘 안되요ㅠㅠ,0,1
테스트 필기감은 괜찮았고생각보다 배송도 빠르고 각인도 원하는 대로 제대로 되어 있었고요 사은품으로 주신 볼펜도 필기감도 괜찮아요,1,0
거품이 많아서 좋습니다.,1,2
냄새가 심하게난다,0,1
먼지를 빨아들이는 힘이 거의 없다시피함,0,1
성글게? 말아져 있습니다 이게 브랜드의 차이일까요? 그 두께의 차이를 올립니다,0,2
배송도 빠른편이고 우산크기도 좋긴한데 우산접었을때 체결하는 부분이 너무 뻑뻑하네요,1,0
면도기 사이즈에다라 호불호가 갈릴꺼같아요 신랑이 쓰는 면도기는 앞으로 빼고 넣고가 안되서 위에서 뺴고넣고 해야하네요 앞에서 빼고 넣으려면 옆으로 넣어야 해요 구입하실분들 이부분 참고하세요~,0,1
굿굿 편하구 좋아요.,1,2
알루미늄철판끼우는고리가 휘었네요 반품하기귀찮아서그냥쓰는데 짜증납니다 품질신경써주세요 장사할때,0,1
어이가없네요 셈플한개가 비어서 왔네요,0,1
맛이 특별히진않아요 ㄱ ㅓㅁ은콩함유도 머 검은콩두유라 말하기 부끄러눌듯,0,1
사진 그대로 입니다 귀엽고 예뻐요,1,0
별로 안튼튼하네요.,0,2
금방 들뜨고 찢어졌어요,0,1
"맛없고, 약품맛 나요",0,1
생각보다 넘질겨요 부채살이 훨씬낳아요,0,1
얇은면 기대이하 반품하고 싶을정도,0,1
알이 너무 작아 아쉽네요.,0,1
평가 자체를 하기싫어요.,0,2
깻잎은 그냥저냥 보통인거 같아요. 조금 질긴 감은 있지만 양념도 괜찮아요,1,0
하나만 살 걸.. 두개 동시에 산 거 후회중. 서랍에서 썩고 있어요,0,2
배송빠름 세개중 하나는 새서 양이 적음^^,0,1
덜 피곤한것 같네요 환절기고 피곤해서 먹기시작했는데약이 작아서 먹기 편하기도 하고좀 덜 피곤한 것 같아 먹기 잘한것 같음.가격도 괜찮아서 앞으로도 쭉 먹을예정임,1,0
오늘 바로 받아보고 리뷰써요 딸아이가 건선피부라서 항상가려워 하거든요 네이버쇼핑보다가 리뷰가 넘좋아서 구입합니다 스프레이만 뿌려봤는데 가려운데다 뿌려서 그런지 따갑다고 하더라구요 1주일정도 써보면 효과가 있다는데 진짜 효과 받았으면 좋겠어요,1,0
상품파손배송으로 힘들게 다시 상품받아보네요,0,1
모기가 않들어가요ᆢ,0,1
밀착력 최악이네요,0,1
재구매 재구매했습니다. 한달먹어봤는데 효과가 있는것 같은데 가격이 조금 부담스럽네요,1,0
넘 좋아여 아이가 좋아하네요,0,1
적축인데도 소음이 적어서 사무실에서도 사용하고있습니다. 업무용 키보드 자판이 너무 낮아서 평상시에 업무에 지장이 있으시다면 꼭 사용하시기 바랍니다. 물론 게임이나 엔터테이먼트용으로는 두말 할 것 없이 최고입니다.,1,0
아주 막 고급스럽진 않지만 아주 막 싸보이지도 않는 그런 느낌이예요,1,0
안맞아요... 완전 옆으로 기울어서 되어 있습니다.,0,2
가격이 저렴한 만큼만 합니다,0,1
아기자기하게 이쁩니다 가벼워서 좋습니다 아이가 안전하게 이용할수 있을꺼같습니다,1,0
ㅂㆍ 생각보다 ㅂㆍ닐,0,1
사이즈도 맘에 들고 포장도 깔끔 비싼 진주귀걸이 한쪽 잃어버려 속상했는데 진품만큼 이뻐요,1,0
포장좀 제대로 해주시지,0,1
재구매 계속 재구매하고 지인한테 선물하려고 더구매함 ㅎ,1,0
좀 시끄러운거 말곤 좋아요,1,0
"재구매 재구매했어요~ 지난번엔 거의 다 살아서 꿈틀거렸는데 이번엔 다 죽어서 왔네요, 좀 아쉽지만 그래도 전보다 알은 좀 차있었어요",1,0
색상도 이뿌고 내구성도 튼튼해서 좋아요 손잡이가 헐렁해서 잘못된건줄 알았는데 원래 그런가바요;;; 고정되면 더 좋을거가,1,0
열개샀는데 역시 싼맛에 씁니다,0,1
예쁘고 좋아용 주황색도 추가주문할예정입니당 판매자님이 넘 친절하세용 배송도 짱빠름 강추,1,0
처음으로 입었는데도 보풀이 넘 많이 생겨요ㅜ,0,1
빠른배송 너무 좋았습니다.,1,2
구운계란은 처음주문해봤는데 신선하고 맛있어요 가격도 착하고 좋아요 한가지 아쉬운점은 좀더 쫀득했으면 더맛있었을텐데 ... 요부분빼고는 만족합니다 깨진거 3알있었지만 바로먹었어요 다음에 제구매 의사 있습니다,1,0
생오리가 아닌가 봐요 물이 많이 생기고 육즙도 빠지고 제가 먹어본 오리중 젤 아쉬운 맛 이었어요 ㅠ,0,1
후기들이 만족한다는 내용이 많아서 기대했는데.. 막상 받아보니 훨씬 더 만족스럽습니다. 아주 좋아요. 사진보다 실제품이 훨씬 퀄리티가 뛰어납니다.,1,0
전라도 맛있는 배추김치 제가 호텔 김치도 사다 먹어 봤는데요 이 김치가 쵝오 맛나요 인공 조미료의 그런 자극적인 맛 아니고요 젓갈 가득한 싱싱한 전라도 김치예요 정말 김치에 손이 자주가요 머는 김치요리는 다 해먹고 싶네요 계속 여기서 먹을거예요,1,0
쇠에 힘이 약해요. 키친타월 걸면 축 늘어집니다.,0,2
안장의 기스 안장 아랫부분 스티커의 찢어짐,0,1
배송이 많이 느리긴 했지만 급한게 아니라 기다렸습니다. 생각보다 크고 배송해주시는분이 다 설치해주시고 갔고 먼지는 조금있었지만 냄새는 좀나네요.. 몇일 환기시키면서 빼야할듯합니다. 가격대비 만족해요~,1,0
개별 박스가 조금씩 손상되어 왔습니다. 치약같은 경우 개별박스 포장은 아니더라도 사각형으로 되어 있으니 하다못해 신문지라도 살짝 감싸주면 외부충격으로 인한 손상을 줄일 수 있습니다,0,1
아....2번제품으로 구매해야하는데... 잘못구매함..그래도 걍 씀... 이 제품도 알콜솜으로 소독시키고 여!드1름 따도 되는거져?,0,2
재구매 다좋은데 배송에 다소 문제가있어요!,0,1
딱 가성비 좋은 제품 입니다.,1,0
"유럽여행 도난방지로 마련했는데, 갈수있을지 모르겠네요... 뭐 이번에 못가면 다음에 쓰죠",1,0
믿고쓰는 바세린이죠! 감사합니다.,1,2
잘 갈라지고 접착력이 좋지않음,0,1
생각보다 뻣뻣하고 착용감이 좋지가 않네요 ㅜㅜ,0,1
밑위가 사진보다 더 짧아서 정리하고 입으셔야해요 다리 넣는 구멍이 작고 신축성이 없어서 피안통할듯 임신하면 계속 불어날텐데 부적합한것 같아요,0,1
다 좋네요 ㅎㅎㅎ 만족해요,1,0
좀뻣뻣해서 애가 좋아하질않네요,0,1
쿠션감없고 까칠해서 아픔. 타회사에선 주는 발매트 사은품안줌,0,1
상품받았는데 안에 먼지 엄청많네요 생각보다작앙ㅎ,0,1
사이즈가 안맞아서 붙일수가 럾었음,0,1
너무 부실해요 안다가 넘어질것 같이요 모양만의자네요.,0,1
한글설명서를 첨부해주시면 좋을거같네요,0,1
뭐 한두달용으론 이만한게 없는듯 근데 생긴거완 다르게 생각보다 오래 못써요 ㅋㅋ,1,0
물에 잘 풀어지는 만큼 질기지 못하네요,0,1
바퀴달린거 사길 잘했네요 ㅎ 내부 수납공간도 생각보다 엄청커서 너무 좋구요 맘에듭니다 ㅎ,1,0
사지마세요ㅜ저렴한이유가,0,1
시야확보가 잘안되는거 제외하곤 무난해요.,0,1
배송도 빠르고 제품도좋습니다 제봉질이 잘안된곳이 있어 별하나 뺍니다 그거빼고는 제품은 아주좋은품질입니다,1,0
